"id","academy_id","student_id","name","program","plan_type","amount","amount_received","balance_amount","payment_mode","payment_status","payment_date","start_date","expiry_date","sessions_purchased","sessions_used","status","created_at","enrollment_type","package_duration","coach_id","transaction_ref","tax_inclusive","gst_rate","base_amount","tax_amount","discount","discount_type","discount_val","discount_reason","valid_to","next_payment_due"
"pkg_001","11111111-1111-1111-1111-111111111111","st_kaisha_mehta","JDP","JDP","Monthly","14000","14000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-26","36","5","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_002","11111111-1111-1111-1111-111111111111","st_arhaan_dutt","HPP","HPP","Monthly","18000","18000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-07","36","12","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_003","11111111-1111-1111-1111-111111111111","st_siddharth_dsouza","JDP","JDP","Monthly","14000","14000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-23","36","12","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_004","11111111-1111-1111-1111-111111111111","st_hrivaan_mehta","JDP","JDP","Monthly","14000","14000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-04","36","13","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_005","11111111-1111-1111-1111-111111111111","st_aarush_khanna","HPP","HPP","Monthly","18000","18000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-11","36","8","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_006","11111111-1111-1111-1111-111111111111","st_aadvik_khanna","HPP","HPP","Monthly","18000","18000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-12","36","12","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_007","11111111-1111-1111-1111-111111111111","st_thiyaan_manik","HPP","HPP","Monthly","18000","18000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-29","36","27","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_008","11111111-1111-1111-1111-111111111111","st_arjun_moorthy","ADV","ADV","Monthly","9000","9000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-25","36","18","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_009","11111111-1111-1111-1111-111111111111","st_abir_sukhani","ADV","ADV","Monthly","9000","9000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-25","36","13","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_010","11111111-1111-1111-1111-111111111111","st_yuvaan_bajaj","ADV","ADV","Monthly","9000","9000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-19","36","6","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_011","11111111-1111-1111-1111-111111111111","st_kabir_ludhani","ADV","ADV","Monthly","9000","9000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-30","36","14","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_012","11111111-1111-1111-1111-111111111111","st_ayaan_salot","ADV","ADV","Monthly","9000","9000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-20","36","22","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
