"id","batch_id","student_id","coach_id","date","status","check_in","check_out","marked_by","session_period","remarks"
"at_00001","b_tts_int_c3","st_aarohi_singhal","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_jagdish","full_day",""
"at_00002","b_tts_int_c4","st_amaira_chauhan","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_nanu","full_day",""
"at_00003","b_tts_int_c4","st_arjun_choudhary","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_nanu","full_day",""
"at_00004","b_tts_int_c5","st_hrivaan_mehta","coach-1","2026-07-25","EXCUSED","06:00","08:00","coach_anil","full_day",""
"at_00005","b_tts_int_c5","st_siddharth_dsouza","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_anil","full_day",""
"at_00006","b_tts_int_c5","st_vivaan_mehra","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_anil","full_day",""
"at_00007","b_tts_int_c5","st_kimaya_katyal","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_anil","full_day",""
"at_00008","b_tts_green_c5","st_inez_mehra","coach-1","2026-07-25","EXCUSED","06:00","08:00","coach_karan","full_day",""
"at_00009","b_tts_green_c5","st_vrahad_arora","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00010","b_tts_green_c5","st_aksania_atal","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00011","b_tts_green_c5","st_arjun_shah","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00012","b_tts_green_c5","st_shivya_poddar","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00013","b_tts_green_c5","st_ayaan_sheth","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00014","b_tts_green_c5","st_arhaan_sanghvi","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00015","b_tts_green_c5","st_ananya_rajani","coach-1","2026-07-25","EXCUSED","06:00","08:00","coach_karan","full_day",""
"at_00016","b_tts_green_c5","st_vivaan_oza","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00017","b_tts_green_c5","st_vihaan_vasant","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00018","b_tts_green_c6","st_amara_yalla","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karim","full_day",""
"at_00019","b_tts_green_c6","st_ahaan_kewalramani","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karim","full_day",""
"at_00020","b_tts_green_c6","st_viana_shah","coach-1","2026-07-25","ABSENT","06:00","08:00","coach_karim","full_day",""
"at_00021","b_tts_red_c6","st_ivana_ganeriwal","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00022","b_tts_red_c6","st_kavir_chopra","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00023","b_tts_red_c6","st_ariaan_khandelwal","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00024","b_tts_red_c6","st_kianna_jain","coach-1","2026-07-25","ABSENT","06:00","08:00","coach_sunil","full_day",""
"at_00025","b_tts_red_c6","st_zayn_winston","coach-1","2026-07-25","EXCUSED","06:00","08:00","coach_sunil","full_day",""
"at_00026","b_tts_red_c6","st_parth_mehta","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00027","b_tts_red_c6","st_avish_shah","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00028","b_tts_red_c6","st_anaiza_jhaveri","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00029","b_tts_red_c6","st_shauraya_sekhani","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00030","b_tts_red_c6","st_nihira_desai","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00031","b_tts_red_c6","st_kaira_vajifdar","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00032","b_tts_red_c6","st_sohana_chandanani","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00033","b_tts_fit_c6","st_amara_yalla","coach-1","2026-07-25","EXCUSED","06:00","08:00","coach_fitness","full_day",""
"at_00034","b_tts_fit_c6","st_viana_shah","coach-1","2026-07-25","ABSENT","06:00","08:00","coach_fitness","full_day",""
"at_00035","b_tts_fit_c6","st_aarohi_singhal","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_fitness","full_day",""
"at_00036","b_wk_u8_230","st_prashi_iyer","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00037","b_wk_u8_230","st_tanuj_gupte","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00038","b_wk_u8_230","st_shivaay_ruia","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00039","b_wk_u8_230","st_vansh_katari","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00040","b_wk_u8_230","st_prabhit_kanakia","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00041","b_wk_8p_230","st_ziana_vora","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00042","b_wk_8p_230","st_naavya_desai","coach-1","2026-07-25","ABSENT","06:00","08:00","coach_karan","full_day",""
"at_00043","b_wk_u8_330","st_sasha_saini","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00044","b_wk_u8_330","st_shivan_chauhan","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00045","b_wk_u8_330","st_advait_parekh","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00046","b_wk_u8_330","st_rada_saran_koshcheeva","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00047","b_wk_u8_330","st_maahi_pabari","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00048","b_wk_u8_330","st_dhven_mukhi","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00049","b_wk_8p_330","st_kyra_golcha","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00050","b_wk_8p_330","st_aditya_kapadia","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00051","b_wk_8p_330","st_ananya_kapadia","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00052","b_wk_8p_330","st_rehaan_merchant","coach-1","2026-07-25","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00053","b_wk_u8_230","st_prashi_iyer","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00054","b_wk_u8_230","st_tanuj_gupte","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00055","b_wk_u8_230","st_shivaay_ruia","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00056","b_wk_u8_230","st_vansh_katari","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00057","b_wk_u8_230","st_prabhit_kanakia","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00058","b_wk_8p_230","st_ziana_vora","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00059","b_wk_8p_230","st_naavya_desai","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00060","b_wk_u8_330","st_sasha_saini","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00061","b_wk_u8_330","st_shivan_chauhan","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00062","b_wk_u8_330","st_advait_parekh","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00063","b_wk_u8_330","st_rada_saran_koshcheeva","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00064","b_wk_u8_330","st_maahi_pabari","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_sunil","full_day",""
"at_00065","b_wk_u8_330","st_dhven_mukhi","coach-1","2026-07-26","LATE","06:00","08:00","coach_sunil","full_day",""
"at_00066","b_wk_8p_330","st_kyra_golcha","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00067","b_wk_8p_330","st_aditya_kapadia","coach-1","2026-07-26","LATE","06:00","08:00","coach_karan","full_day",""
"at_00068","b_wk_8p_330","st_ananya_kapadia","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00069","b_wk_8p_330","st_rehaan_merchant","coach-1","2026-07-26","PRESENT","06:00","08:00","coach_karan","full_day",""
"at_00070","b_mwf_adv_c2","st_kaisha_mehta","coach-1","2026-07-27","LATE","06:00","08:00","coach_jagdish","full_day",""
