"id","academy_id","student_id","parent_id","enrollment_id","package_id","amount","tax_amount","payment_mode","transaction_ref","payment_date","status","created_at"
"pay-1","11111111-1111-1111-1111-111111111111","st_kaisha_mehta","","enr-st_kaisha_mehta","pkg_001","14000","2520","UPI","TXN_pkg_001","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-2","11111111-1111-1111-1111-111111111111","st_arhaan_dutt","","enr-st_arhaan_dutt","pkg_002","18000","3240","UPI","TXN_pkg_002","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-3","11111111-1111-1111-1111-111111111111","st_siddharth_dsouza","","enr-st_siddharth_dsouza","pkg_003","14000","2520","UPI","TXN_pkg_003","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-4","11111111-1111-1111-1111-111111111111","st_hrivaan_mehta","","enr-st_hrivaan_mehta","pkg_004","14000","2520","UPI","TXN_pkg_004","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-5","11111111-1111-1111-1111-111111111111","st_aarush_khanna","","enr-st_aarush_khanna","pkg_005","18000","3240","UPI","TXN_pkg_005","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-6","11111111-1111-1111-1111-111111111111","st_aadvik_khanna","","enr-st_aadvik_khanna","pkg_006","18000","3240","UPI","TXN_pkg_006","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-7","11111111-1111-1111-1111-111111111111","st_thiyaan_manik","","enr-st_thiyaan_manik","pkg_007","18000","3240","UPI","TXN_pkg_007","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-8","11111111-1111-1111-1111-111111111111","st_arjun_moorthy","","enr-st_arjun_moorthy","pkg_008","9000","1620","UPI","TXN_pkg_008","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-9","11111111-1111-1111-1111-111111111111","st_abir_sukhani","","enr-st_abir_sukhani","pkg_009","9000","1620","UPI","TXN_pkg_009","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-10","11111111-1111-1111-1111-111111111111","st_yuvaan_bajaj","","enr-st_yuvaan_bajaj","pkg_010","9000","1620","UPI","TXN_pkg_010","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-11","11111111-1111-1111-1111-111111111111","st_kabir_ludhani","","enr-st_kabir_ludhani","pkg_011","9000","1620","UPI","TXN_pkg_011","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-12","11111111-1111-1111-1111-111111111111","st_ayaan_salot","","enr-st_ayaan_salot","pkg_012","9000","1620","UPI","TXN_pkg_012","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-13","11111111-1111-1111-1111-111111111111","st_vivaan_mehra","","enr-st_vivaan_mehra","pkg_013","9000","1620","UPI","TXN_pkg_013","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-14","11111111-1111-1111-1111-111111111111","st_dev_karnik","","enr-st_dev_karnik","pkg_014","14000","2520","UPI","TXN_pkg_014","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-15","11111111-1111-1111-1111-111111111111","st_arjun_arya","","enr-st_arjun_arya","pkg_015","14000","2520","UPI","TXN_pkg_015","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-16","11111111-1111-1111-1111-111111111111","st_aarav_chandra","","enr-st_aarav_chandra","pkg_016","9000","1620","UPI","TXN_pkg_016","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-18","11111111-1111-1111-1111-111111111111","st_alina_yalla","","enr-st_alina_yalla","pkg_018","5500","990","UPI","TXN_pkg_018","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-19","11111111-1111-1111-1111-111111111111","st_aarush_sanghvi","","enr-st_aarush_sanghvi","pkg_019","5500","990","UPI","TXN_pkg_019","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-20","11111111-1111-1111-1111-111111111111","st_meera_vivek","","enr-st_meera_vivek","pkg_020","5500","990","UPI","TXN_pkg_020","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-21","11111111-1111-1111-1111-111111111111","st_krisha_desai","","enr-st_krisha_desai","pkg_021","5500","990","UPI","TXN_pkg_021","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-22","11111111-1111-1111-1111-111111111111","st_aarshiv_karla","","enr-st_aarshiv_karla","pkg_022","5500","990","UPI","TXN_pkg_022","2026-06-25","Completed","2026-08-05T00:00:00Z"
"pay-23","11111111-1111-1111-1111-111111111111","st_aroush_mehta","","enr-st_aroush_mehta","pkg_023","5500","990","UPI","TXN_pkg_023","2026-06-25","Completed","2026-08-05T00:00:00Z"
