"id","academy_id","parent_id","full_name","date_of_birth","age","age_group","gender","skill_level","status","join_date","guardian_name","guardian_phone","guardian_email","membership_type","created_at"
"st_aadvik_khanna","11111111-1111-1111-1111-111111111111","parent-1","Aadvik Khanna","2014-01-01","6","","Other","Beginner","ACTIVE","2024-12-19","Khanna Family","+91 9870717355","","Member","2026-01-05T00:00:00Z"
"st_aalya_saini","11111111-1111-1111-1111-111111111111","parent-2","Aalya Saini","2014-01-01","13","","Other","Beginner","ACTIVE","2025-04-09","Saini Family","+91 9872498494","","Member","2026-01-05T00:00:00Z"
"st_aarav_chandra","11111111-1111-1111-1111-111111111111","parent-3","Aarav Chandra","2014-01-01","8","","Other","Beginner","ACTIVE","2024-11-21","Chandra Family","+91 9878161301","","Member","2026-01-05T00:00:00Z"
"st_aarav_heble","11111111-1111-1111-1111-111111111111","parent-4","Aarav Heble","2014-01-01","15","","Other","Beginner","ACTIVE","2026-01-07","Heble Family","+91 9835488219","","Member","2026-01-05T00:00:00Z"
"st_aarav_sanghvi","11111111-1111-1111-1111-111111111111","parent-5","Aarav Sanghvi","2014-01-01","10","","Other","Beginner","ACTIVE","2025-03-15","Sanghvi Family","+91 9878707214","","Member","2026-01-05T00:00:00Z"
"st_aarohi_singhal","11111111-1111-1111-1111-111111111111","parent-6","Aarohi Singhal","2014-01-01","17","","Other","Beginner","ACTIVE","2024-10-25","Singhal Family","+91 9894541427","","Member","2026-01-05T00:00:00Z"
"st_aarshiv_karla","11111111-1111-1111-1111-111111111111","parent-7","Aarshiv Karla","2014-01-01","12","","Other","Beginner","ACTIVE","2026-04-10","Karla Family","+91 9834987809","","Member","2026-01-05T00:00:00Z"
"st_aarush_khanna","11111111-1111-1111-1111-111111111111","parent-8","Aarush Khanna","2014-01-01","7","","Other","Beginner","ACTIVE","2025-09-08","Khanna Family","+91 9869940718","","Member","2026-01-05T00:00:00Z"
"st_aarush_sanghvi","11111111-1111-1111-1111-111111111111","parent-9","Aarush Sanghvi","2014-01-01","14","","Other","Beginner","ACTIVE","2026-04-14","Sanghvi Family","+91 9829031420","","Member","2026-01-05T00:00:00Z"
"st_abir_sukhani","11111111-1111-1111-1111-111111111111","parent-10","Abir Sukhani","2014-01-01","9","","Other","Beginner","ACTIVE","2024-04-07","Sukhani Family","+91 9882302218","","Guest","2026-01-05T00:00:00Z"
"st_aditya_kapadia","11111111-1111-1111-1111-111111111111","parent-11","Aditya Kapadia","2014-01-01","16","","Other","Beginner","ACTIVE","2026-06-03","Kapadia Family","+91 9895154811","","Member","2026-01-05T00:00:00Z"
"st_advait_parekh","11111111-1111-1111-1111-111111111111","parent-12","Advait Parekh","2014-01-01","11","","Other","Beginner","ACTIVE","2025-06-05","Parekh Family","+91 9889918134","","Guest","2026-01-05T00:00:00Z"
"st_agastya_kalra","11111111-1111-1111-1111-111111111111","parent-13","Agastya Kalra","2014-01-01","6","","Other","Beginner","ACTIVE","2024-09-14","Kalra Family","+91 9870799941","","Member","2026-01-05T00:00:00Z"
"st_ahaan_kewalramani","11111111-1111-1111-1111-111111111111","parent-14","Ahaan Kewalramani","2014-01-01","13","","Other","Beginner","ACTIVE","2024-09-18","Kewalramani Family","+91 9892619427","","Member","2026-01-05T00:00:00Z"
"st_aksania_atal","11111111-1111-1111-1111-111111111111","parent-15","Aksania Atal","2014-01-01","8","","Other","Beginner","ACTIVE","2024-10-15","Atal Family","+91 9831138499","","Member","2026-01-05T00:00:00Z"
"st_alina_yalla","11111111-1111-1111-1111-111111111111","parent-16","Alina Yalla","2014-01-01","15","","Other","Beginner","ACTIVE","2024-03-16","Yalla Family","+91 9812013364","","Member","2026-01-05T00:00:00Z"
"st_alyssa_modawalla","11111111-1111-1111-1111-111111111111","parent-17","Alyssa Modawalla","2014-01-01","10","","Other","Beginner","ACTIVE","2026-05-12","Modawalla Family","+91 9880918133","","Member","2026-01-05T00:00:00Z"
"st_alyza_jhaveri","11111111-1111-1111-1111-111111111111","parent-18","Alyza Jhaveri","2014-01-01","17","","Other","Beginner","ACTIVE","2026-06-09","Jhaveri Family","+91 9817992814","","Member","2026-01-05T00:00:00Z"
"st_amaira_chauhan","11111111-1111-1111-1111-111111111111","parent-19","Amaira Chauhan","2014-01-01","12","","Other","Beginner","ACTIVE","2025-11-10","Chauhan Family","+91 9835529320","","Member","2026-01-05T00:00:00Z"
"st_amara_yalla","11111111-1111-1111-1111-111111111111","parent-20","Amara Yalla","2014-01-01","7","","Other","Beginner","ACTIVE","2026-06-15","Yalla Family","+91 9890479377","","Member","2026-01-05T00:00:00Z"
"st_anaiza_jhaveri","11111111-1111-1111-1111-111111111111","parent-21","Anaiza Jhaveri","2014-01-01","14","","Other","Beginner","ACTIVE","2025-08-15","Jhaveri Family","+91 9872268229","","Member","2026-01-05T00:00:00Z"
"st_ananya_dodhia","11111111-1111-1111-1111-111111111111","parent-22","Ananya Dodhia","2014-01-01","9","","Other","Beginner","ACTIVE","2024-11-17","Dodhia Family","+91 9869127085","","Member","2026-01-05T00:00:00Z"
"st_ananya_kapadia","11111111-1111-1111-1111-111111111111","parent-23","Ananya Kapadia","2014-01-01","16","","Other","Beginner","ACTIVE","2025-01-30","Kapadia Family","+91 9836215591","","Member","2026-01-05T00:00:00Z"
"st_ananya_rajani","11111111-1111-1111-1111-111111111111","parent-24","Ananya Rajani","2014-01-01","11","","Other","Beginner","ACTIVE","2024-09-28","Rajani Family","+91 9841359386","","Member","2026-01-05T00:00:00Z"
"st_arhaan_dutt","11111111-1111-1111-1111-111111111111","parent-25","Arhaan Dutt","2014-01-01","6","","Other","Beginner","ACTIVE","2025-02-19","Dutt Family","+91 9849480355","","Member","2026-01-05T00:00:00Z"
"st_arhaan_sanghvi","11111111-1111-1111-1111-111111111111","parent-26","Arhaan Sanghvi","2014-01-01","13","","Other","Beginner","ACTIVE","2024-09-05","Sanghvi Family","+91 9810616565","","Member","2026-01-05T00:00:00Z"
"st_ariaan_khandelwal","11111111-1111-1111-1111-111111111111","parent-27","Ariaan Khandelwal","2014-01-01","8","","Other","Beginner","ACTIVE","2025-04-03","Khandelwal Family","+91 9821406998","","Member","2026-01-05T00:00:00Z"
"st_arjun_arya","11111111-1111-1111-1111-111111111111","parent-28","Arjun Arya","2014-01-01","15","","Other","Beginner","ACTIVE","2025-10-04","Arya Family","+91 9897885988","","Member","2026-01-05T00:00:00Z"
"st_arjun_choudhary","11111111-1111-1111-1111-111111111111","parent-29","Arjun Choudhary","2014-01-01","10","","Other","Beginner","ACTIVE","2024-12-28","Choudhary Family","+91 9864596917","","Member","2026-01-05T00:00:00Z"
"st_arjun_moorthy","11111111-1111-1111-1111-111111111111","parent-30","Arjun Moorthy","2014-01-01","17","","Other","Beginner","ACTIVE","2024-07-21","Moorthy Family","+91 9821167381","","Member","2026-01-05T00:00:00Z"
"st_arjun_shah","11111111-1111-1111-1111-111111111111","parent-31","Arjun Shah","2014-01-01","12","","Other","Beginner","ACTIVE","2025-08-27","Shah Family","+91 9844090597","","Member","2026-01-05T00:00:00Z"
"st_aroush_mehta","11111111-1111-1111-1111-111111111111","parent-32","Aroush Mehta","2014-01-01","7","","Other","Beginner","ACTIVE","2025-02-05","Mehta Family","+91 9840825235","","Member","2026-01-05T00:00:00Z"
"st_arya_mehta","11111111-1111-1111-1111-111111111111","parent-33","Arya Mehta","2014-01-01","14","","Other","Beginner","ACTIVE","2026-06-15","Mehta Family","+91 9848794285","","Member","2026-01-05T00:00:00Z"
"st_aryaveer_rathod","11111111-1111-1111-1111-111111111111","parent-34","Aryaveer Rathod","2014-01-01","9","","Other","Beginner","ACTIVE","2024-12-16","Rathod Family","+91 9819425238","","Member","2026-01-05T00:00:00Z"
"st_aveer_vasant","11111111-1111-1111-1111-111111111111","parent-35","Aveer Vasant","2014-01-01","16","","Other","Beginner","ACTIVE","2025-05-31","Vasant Family","+91 9824485705","","Member","2026-01-05T00:00:00Z"
"st_aveera_rathod","11111111-1111-1111-1111-111111111111","parent-36","Aveera Rathod","2014-01-01","11","","Other","Beginner","ACTIVE","2025-09-21","Rathod Family","+91 9824469087","","Member","2026-01-05T00:00:00Z"
"st_avish_shah","11111111-1111-1111-1111-111111111111","parent-37","Avish Shah","2014-01-01","6","","Other","Beginner","ACTIVE","2026-05-08","Shah Family","+91 9861876968","","Member","2026-01-05T00:00:00Z"
"st_avyaan_barot","11111111-1111-1111-1111-111111111111","parent-38","Avyaan Barot","2014-01-01","13","","Other","Beginner","ACTIVE","2024-08-13","Barot Family","+91 9812267000","","Member","2026-01-05T00:00:00Z"
"st_ayaan_salot","11111111-1111-1111-1111-111111111111","parent-39","Ayaan Salot","2014-01-01","8","","Other","Beginner","ACTIVE","2025-12-09","Salot Family","+91 9810073140","","Member","2026-01-05T00:00:00Z"
"st_ayaan_sheth","11111111-1111-1111-1111-111111111111","parent-40","Ayaan Sheth","2014-01-01","15","","Other","Beginner","ACTIVE","2026-05-23","Sheth Family","+91 9838147794","","Member","2026-01-05T00:00:00Z"
"st_dev_karnik","11111111-1111-1111-1111-111111111111","parent-41","Dev Karnik","2014-01-01","10","","Other","Beginner","ACTIVE","2025-06-26","Karnik Family","+91 9873080624","","Member","2026-01-05T00:00:00Z"
"st_dhven_mukhi","11111111-1111-1111-1111-111111111111","parent-42","Dhven Mukhi","2014-01-01","17","","Other","Beginner","ACTIVE","2025-05-12","Mukhi Family","+91 9863341398","","Member","2026-01-05T00:00:00Z"
"st_divyansh_bhatija","11111111-1111-1111-1111-111111111111","parent-43","Divyansh Bhatija","2014-01-01","12","","Other","Beginner","ACTIVE","2024-12-13","Bhatija Family","+91 9819803040","","Member","2026-01-05T00:00:00Z"
"st_hrivaan_mehta","11111111-1111-1111-1111-111111111111","parent-44","Hrivaan Mehta","2014-01-01","7","","Other","Beginner","ACTIVE","2025-12-24","Mehta Family","+91 9894484008","","Member","2026-01-05T00:00:00Z"
"st_inez_mehra","11111111-1111-1111-1111-111111111111","parent-45","Inez Mehra","2014-01-01","14","","Other","Beginner","ACTIVE","2025-08-05","Mehra Family","+91 9846208666","","Member","2026-01-05T00:00:00Z"
"st_ivana_ganeriwal","11111111-1111-1111-1111-111111111111","parent-46","Ivana Ganeriwal","2014-01-01","9","","Other","Beginner","ACTIVE","2025-08-31","Ganeriwal Family","+91 9821696296","","Member","2026-01-05T00:00:00Z"
"st_ivanka_chouhan","11111111-1111-1111-1111-111111111111","parent-47","Ivanka Chouhan","2014-01-01","16","","Other","Beginner","ACTIVE","2026-06-30","Chouhan Family","+91 9854638887","","Member","2026-01-05T00:00:00Z"
"st_kabir_ludhani","11111111-1111-1111-1111-111111111111","parent-48","Kabir Ludhani","2014-01-01","11","","Other","Beginner","ACTIVE","2024-05-30","Ludhani Family","+91 9865036102","","Guest","2026-01-05T00:00:00Z"
"st_kaira_vajifdar","11111111-1111-1111-1111-111111111111","parent-49","Kaira Vajifdar","2014-01-01","6","","Other","Beginner","ACTIVE","2026-02-28","Vajifdar Family","+91 9825836575","","Member","2026-01-05T00:00:00Z"
"st_kaisha_mehta","11111111-1111-1111-1111-111111111111","parent-50","Kaisha Mehta","2014-01-01","13","","Other","Beginner","ACTIVE","2024-07-22","Mehta Family","+91 9843069630","","Member","2026-01-05T00:00:00Z"
"st_kavir_chopra","11111111-1111-1111-1111-111111111111","parent-51","Kavir Chopra","2014-01-01","8","","Other","Beginner","ACTIVE","2026-07-04","Chopra Family","+91 9823562206","","Member","2026-01-05T00:00:00Z"
"st_kianna_jain","11111111-1111-1111-1111-111111111111","parent-52","Kianna Jain","2014-01-01","15","","Other","Beginner","ACTIVE","2025-03-26","Jain Family","+91 9818038756","","Member","2026-01-05T00:00:00Z"
"st_kiara_shah","11111111-1111-1111-1111-111111111111","parent-53","Kiara Shah","2014-01-01","10","","Other","Beginner","ACTIVE","2026-01-15","Shah Family","+91 9875340316","","Member","2026-01-05T00:00:00Z"
"st_kimaya_katyal","11111111-1111-1111-1111-111111111111","parent-54","Kimaya Katyal","2014-01-01","17","","Other","Beginner","ACTIVE","2026-01-04","Katyal Family","+91 9885067323","","Member","2026-01-05T00:00:00Z"
"st_krisha_desai","11111111-1111-1111-1111-111111111111","parent-55","Krisha Desai","2014-01-01","12","","Other","Beginner","ACTIVE","2025-02-09","Desai Family","+91 9870052350","","Member","2026-01-05T00:00:00Z"
"st_kyra_golcha","11111111-1111-1111-1111-111111111111","parent-56","Kyra Golcha","2014-01-01","7","","Other","Beginner","ACTIVE","2024-06-26","Golcha Family","+91 9835593228","","Guest","2026-01-05T00:00:00Z"
"st_maahi_pabari","11111111-1111-1111-1111-111111111111","parent-57","Maahi Pabari","2014-01-01","14","","Other","Beginner","ACTIVE","2025-05-12","Pabari Family","+91 9827578104","","Member","2026-01-05T00:00:00Z"
"st_meera_vivek","11111111-1111-1111-1111-111111111111","parent-58","Meera Vivek","2014-01-01","9","","Other","Beginner","ACTIVE","2025-06-18","Vivek Family","+91 9896397981","","Member","2026-01-05T00:00:00Z"
"st_naavya_desai","11111111-1111-1111-1111-111111111111","parent-59","Naavya Desai","2014-01-01","16","","Other","Beginner","ACTIVE","2025-06-06","Desai Family","+91 9825637437","","Member","2026-01-05T00:00:00Z"
"st_nihira_desai","11111111-1111-1111-1111-111111111111","parent-60","Nihira Desai","2014-01-01","11","","Other","Beginner","ACTIVE","2025-12-10","Desai Family","+91 9866472862","","Member","2026-01-05T00:00:00Z"
"st_parth_mehta","11111111-1111-1111-1111-111111111111","parent-61","Parth Mehta","2014-01-01","6","","Other","Beginner","ACTIVE","2025-10-12","Mehta Family","+91 9810063204","","Member","2026-01-05T00:00:00Z"
"st_prabhit_kanakia","11111111-1111-1111-1111-111111111111","parent-62","Prabhit Kanakia","2014-01-01","13","","Other","Beginner","ACTIVE","2025-09-07","Kanakia Family","+91 9889556300","","Member","2026-01-05T00:00:00Z"
"st_prashi_iyer","11111111-1111-1111-1111-111111111111","parent-63","Prashi Iyer","2014-01-01","8","","Other","Beginner","ACTIVE","2025-12-12","Iyer Family","+91 9812634789","","Guest","2026-01-05T00:00:00Z"
"st_rada_saran_koshcheeva","11111111-1111-1111-1111-111111111111","parent-64","Rada Saran Koshcheeva","2014-01-01","15","","Other","Beginner","ACTIVE","2025-06-07","Koshcheeva Family","+91 9835139968","","Member","2026-01-05T00:00:00Z"
"st_rehaan_merchant","11111111-1111-1111-1111-111111111111","parent-65","Rehaan Merchant","2014-01-01","10","","Other","Beginner","ACTIVE","2024-09-26","Merchant Family","+91 9890801554","","Member","2026-01-05T00:00:00Z"
"st_riddhima_shah","11111111-1111-1111-1111-111111111111","parent-66","Riddhima Shah","2014-01-01","17","","Other","Beginner","ACTIVE","2026-04-04","Shah Family","+91 9887438238","","Member","2026-01-05T00:00:00Z"
"st_sasha_saini","11111111-1111-1111-1111-111111111111","parent-67","Sasha Saini","2014-01-01","12","","Other","Beginner","ACTIVE","2026-02-16","Saini Family","+91 9815651615","","Member","2026-01-05T00:00:00Z"
"st_shauraya_sekhani","11111111-1111-1111-1111-111111111111","parent-68","Shauraya Sekhani","2014-01-01","7","","Other","Beginner","ACTIVE","2025-04-19","Sekhani Family","+91 9838621040","","Member","2026-01-05T00:00:00Z"
"st_shaurya_kothari","11111111-1111-1111-1111-111111111111","parent-69","Shaurya Kothari","2014-01-01","14","","Other","Beginner","ACTIVE","2026-07-06","Kothari Family","+91 9844665427","","Member","2026-01-05T00:00:00Z"
"st_shivaay_ruia","11111111-1111-1111-1111-111111111111","parent-70","Shivaay Ruia","2014-01-01","9","","Other","Beginner","ACTIVE","2025-08-13","Ruia Family","+91 9891917530","","Guest","2026-01-05T00:00:00Z"
"st_shivan_chauhan","11111111-1111-1111-1111-111111111111","parent-71","Shivan Chauhan","2014-01-01","16","","Other","Beginner","ACTIVE","2025-06-15","Chauhan Family","+91 9849772036","","Member","2026-01-05T00:00:00Z"
"st_shivya_poddar","11111111-1111-1111-1111-111111111111","parent-72","Shivya Poddar","2014-01-01","11","","Other","Beginner","ACTIVE","2026-04-30","Poddar Family","+91 9819851387","","Member","2026-01-05T00:00:00Z"
"st_siddhanth_dsouza","11111111-1111-1111-1111-111111111111","parent-73","Siddhanth Dsouza","2014-01-01","6","","Other","Beginner","ACTIVE","2025-12-14","Dsouza Family","+91 9822095322","","Member","2026-01-05T00:00:00Z"
"st_siddharth_dsouza","11111111-1111-1111-1111-111111111111","parent-74","Siddharth Dsouza","2014-01-01","13","","Other","Beginner","ACTIVE","2024-10-02","Dsouza Family","+91 9888213340","","Member","2026-01-05T00:00:00Z"
"st_sohana_chandanani","11111111-1111-1111-1111-111111111111","parent-75","Sohana Chandanani","2014-01-01","8","","Other","Beginner","ACTIVE","2026-06-30","Chandanani Family","+91 9842616642","","Member","2026-01-05T00:00:00Z"
