"id","name","email","password","role","phone","linked_coach_id","linked_parent_id","linked_student_id","business_entity","status","created_at"
"user_admin","Arnav Jain","admin@tennisacademy.com","admin123","admin","+91 9900000001","","","","all","Active","2026-01-01T00:00:00Z"
"user_ops","Ops Head","ops@tennisacademy.com","ops123","ops_head","+91 9900000002","","","","all","Active","2026-01-01T00:00:00Z"
"user_coach_santosh","Santosh","santosh@tennisacademy.com","coach123","coach","+91 9916610202","coach_santosh","","","tots-tennis","Active","2026-01-01T00:00:00Z"
"user_coach_anil","Anil","anil@tennisacademy.com","coach123","coach","+91 9926526344","coach_anil","","","tots-tennis","Active","2026-01-01T00:00:00Z"
"user_coach_jagdish","Jagdish","jagdish@tennisacademy.com","coach123","coach","+91 9951199456","coach_jagdish","","","tots-tennis","Active","2026-01-01T00:00:00Z"
"user_coach_sunil","Sunil","sunil@tennisacademy.com","coach123","coach","+91 9953121048","coach_sunil","","","tots-tennis","Active","2026-01-01T00:00:00Z"
"user_coach_karan","Karan","karan@tennisacademy.com","coach123","coach","+91 9934540535","coach_karan","","","tots-tennis","Active","2026-01-01T00:00:00Z"
"user_coach_karim","Karim","karim@tennisacademy.com","coach123","coach","+91 9988176300","coach_karim","","","tots-tennis","Active","2026-01-01T00:00:00Z"
"user_coach_vinod","Vinod D","vinod.d@tennisacademy.com","coach123","coach","+91 9926479525","coach_vinod","","","tots-tennis","Active","2026-01-01T00:00:00Z"
"user_coach_nanu","Nanu","nanu@tennisacademy.com","coach123","coach","+91 9946760124","coach_nanu","","","tots-tennis","Active","2026-01-01T00:00:00Z"
"user_coach_fitness","Team One Aim","team.one.aim@tennisacademy.com","coach123","coach","+91 9980719970","coach_fitness","","","tots-tennis","Active","2026-01-01T00:00:00Z"
"user_coach_parth","Parth Kalke","parth.kalke@tennisacademy.com","coach123","coach","+91 9980058209","coach_parth","","","the-club","Active","2026-01-01T00:00:00Z"
